code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2020-10-31,2020-09-30,0.060865,0.130150,-0.075188,-0.104938,-0.074623
sh.600004,2020-10-31,2020-09-30,0.011638,-0.003027,-1.414993,-1.451613,-1.463437
sh.600006,2020-10-30,2020-09-30,0.062630,0.048080,0.588350,0.476506,0.476610
sh.600007,2020-10-31,2020-09-30,0.063215,0.028202,-0.171249,-0.164384,-0.171022
sh.600008,2020-10-31,2020-09-30,0.410714,0.274893,0.557588,0.641206,0.640868
sh.600009,2020-10-31,2020-09-30,-0.039525,-0.049701,-1.166424,-1.183575,-1.184611
sh.600010,2020-10-30,2020-09-30,-0.017090,-0.036344,-0.698074,-0.858238,-0.859379
sh.600011,2020-10-28,2020-09-30,0.406038,0.055249,0.655598,0.562500,0.693401
sh.600012,2020-10-30,2020-09-30,0.032086,0.048028,-0.507248,-0.430757,-0.430672
sh.600015,2020-10-31,2020-09-30,0.046060,0.102568,-0.070434,-0.212766,-0.073734
sh.600016,2020-10-31,2020-09-30,0.084096,0.104130,-0.178204,-0.240385,-0.180105
sh.600017,2020-10-30,2020-09-30,0.055298,0.136303,0.151052,0.117647,0.117717
sh.600018,2020-10-31,2020-09-30,0.058021,0.110357,-0.108554,-0.111986,-0.111924
sh.600019,2020-10-30,2020-09-30,0.032055,0.034088,-0.130108,-0.125000,-0.128629
sh.600020,2020-10-31,2020-09-30,0.071325,-0.021409,-0.903673,-0.959550,-0.905618
sh.600021,2020-10-30,2020-09-30,0.263317,0.178464,0.243978,0.215619,0.324060
sh.600022,2020-10-30,2020-09-30,0.017415,-0.059945,0.555251,0.221477,0.201000
sh.600023,2020-10-30,2020-09-30,0.046507,0.010991,0.400495,0.407407,0.435856
sh.600025,2020-10-29,2020-09-30,0.216447,-0.006137,-0.105237,-0.111111,-0.106471
sh.600026,2020-10-30,2020-09-30,0.271837,0.039427,3.434878,4.090657,4.703851
sh.600027,2020-10-29,2020-09-30,0.165727,0.005681,0.421872,0.387097,0.445561
