code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2019-10-30,2019-09-30,0.095587,0.333802,,48864000000.000000,2.080159,,29352080397.00,28103763899.00
sh.600004,2019-10-29,2019-09-30,0.036419,0.105398,0.210710,614801954.900000,0.378584,,2069320514.00,2069320514.00
sh.600006,2019-10-29,2019-09-30,0.045955,0.031360,0.122224,311786826.470000,0.236042,,2000000000.00,2000000000.00
sh.600007,2019-10-31,2019-09-30,0.103653,0.284226,0.544152,739579072.000000,0.916997,,1007282534.00,1007282534.00
sh.600008,2019-10-30,2019-09-30,0.032438,0.073148,0.317492,669583112.960000,0.150545,,5685448207.00,4820614124.00
sh.600009,2019-10-30,2019-09-30,0.134916,0.506449,0.547953,4156827434.400000,2.639088,,1926958448.00,1093476397.00
sh.600010,2019-10-30,2019-09-30,0.022379,0.025450,0.139844,1193185753.910000,0.048452,,45585032648.00,31677211587.00
sh.600011,2019-10-23,2019-09-30,0.062068,0.053203,0.157905,6769121374.000000,0.308256,,15698093359.00,10500000000.00
sh.600012,2019-10-30,2019-09-30,0.082207,0.377641,0.570718,842055747.880000,0.673353,,1658610000.00,1165600000.00
sh.600015,2019-10-31,2019-09-30,0.063714,0.248485,,15376000000.000000,1.402787,,15387223983.00,12822686653.00
sh.600016,2019-10-31,2019-09-30,0.099897,0.346358,,46110000000.000000,1.214437,,43782418502.00,35462123213.00
sh.600017,2019-10-22,2019-09-30,0.046634,0.154937,0.268230,595995846.460000,0.208314,,3075653888.00,3075653888.00
sh.600018,2019-10-31,2019-09-30,0.086733,0.284362,0.306543,7566873258.270000,0.514988,,23173674650.00,23173674650.00
sh.600019,2019-10-26,2019-09-30,0.050508,0.044351,0.107181,9618568334.320000,0.659594,,22274460375.00,22101086925.00
sh.600020,2019-10-29,2019-09-30,0.118544,0.273283,0.581353,1330425202.470000,0.526828,,2247371832.00,2247371832.00
sh.600021,2019-10-29,2019-09-30,0.057561,0.102430,0.255308,1811403333.180000,1.103281,,2617164197.00,2347246305.00
sh.600022,2019-10-30,2019-09-30,0.023975,0.014014,0.067590,742473607.470000,0.016268,,10946549616.00,10946549616.00
sh.600023,2019-10-30,2019-09-30,0.058373,0.103185,0.124289,4091839416.760000,0.287375,,13600689988.00,13600689988.00
sh.600025,2019-10-29,2019-09-30,0.102778,0.318135,0.596642,5190515299.680000,0.467932,,18000000000.00,8928000000.00
sh.600026,2019-10-31,2019-09-30,0.020620,0.075529,0.196166,795374862.630000,0.237792,,4032032861.00,2736032861.00
sh.600027,2019-10-25,2019-09-30,0.045463,0.050318,0.135996,3394298000.000000,0.267401,,9862976653.00,6995743053.00
sh.600028,2019-10-31,2019-09-30,0.059936,0.024387,0.157713,54464000000.000000,0.383163,,121071209646.00,95557771046.00
sh.600029,2019-10-31,2019-09-30,0.062585,0.039146,0.146728,4567000000.000000,0.235262,,12267172286.00,8111520431.00
sh.600030,2019-10-31,2019-09-30,0.067187,0.331152,,10853137765.480000,1.039665,,12116908400.00,9814661700.00
sh.600031,2019-10-31,2019-09-30,0.248159,0.160266,0.325362,9406182000.000000,1.234762,,8416470598.00,8408609391.00
sh.600033,2019-10-31,2019-09-30,0.071184,0.412992,0.651397,863097209.130000,0.288203,,2744400000.00,2744400000.00
sh.600035,2019-10-30,2019-09-30,0.081805,0.268258,0.466503,515467648.070000,0.278361,,1692927321.00,1525318247.00
sh.600036,2019-10-31,2019-09-30,0.135919,0.374337,,77761000000.000000,3.585232,,25219845601.00,20628944429.00
sh.600037,2019-10-30,2019-09-30,0.035857,0.260521,0.246308,472636569.800000,0.445449,,1391777884.00,1391777884.00
sh.600038,2019-10-25,2019-09-30,0.051518,0.037866,0.112917,398684390.680000,1.032624,,589476716.00,589476716.00
sh.600039,2019-10-31,2019-09-30,0.058770,0.027649,0.100514,856344314.830000,0.404863,,3610525510.00,3457072825.00
sh.600048,2019-10-26,2019-09-30,0.102507,0.157018,0.358735,17553619762.220000,1.857830,,11931097452.00,11931097452.00
sh.600050,2019-10-22,2019-09-30,0.030504,0.044909,0.275051,9750742070.000000,0.158758,,31033705687.00,21196596395.00
sh.600051,2019-10-22,2019-09-30,0.022871,0.010178,0.067511,26247882.140000,0.716278,,310880000.00,310880000.00
sh.600052,2019-10-30,2019-09-30,0.398533,14.887660,0.626845,1202542457.940000,1.390460,,871789092.00,871789092.00
sh.600053,2019-10-29,2019-09-30,0.106742,0.393788,0.981689,225109512.140000,1.176573,,433540800.00,433540800.00
sh.600054,2019-10-29,2019-09-30,0.079806,0.288251,0.572885,357125494.030000,0.682307,,729379440.00,513300000.00
sh.600055,2019-10-30,2019-09-30,0.045980,0.142983,0.453905,91080424.260000,0.288509,,540816199.00,540816199.00
sh.600056,2019-10-29,2019-09-30,0.111292,0.045763,0.191063,1191000259.310000,1.191396,,1068485534.00,1012136064.00
sh.600057,2019-10-29,2019-09-30,0.066329,0.005596,0.030363,1126111094.800000,0.489263,,2157454085.00,2157454085.00
sh.600058,2019-10-30,2019-09-30,0.021299,0.003064,0.033055,135425820.960000,-0.249387,,1071910711.00,1071910711.00
sh.600059,2019-10-25,2019-09-30,0.029363,0.094643,0.392689,119558908.170000,0.219408,,808524165.00,808524165.00
sh.600060,2019-10-23,2019-09-30,0.018674,0.014372,0.167906,339815909.290000,0.245808,,1308481222.00,1308481222.00
sh.600061,2019-10-31,2019-09-30,0.065378,4.535621,0.043857,2810392038.210000,0.718527,,4227129727.00,4173831926.00
sh.600062,2019-10-30,2019-09-30,0.112657,0.125611,0.643919,930365840.140000,0.999984,,1043237710.00,1043237710.00
sh.600063,2019-10-29,2019-09-30,0.062767,0.061601,0.221295,301136113.040000,0.152206,,1925894692.00,1925894692.00
sh.600064,2019-10-31,2019-09-30,0.142744,1.218626,0.419759,1503060169.780000,1.334048,,1235956888.00,1235956888.00
sh.600066,2019-10-29,2019-09-30,0.079008,0.064403,0.234223,1343597855.550000,1.096980,,2213939223.00,2213939223.00
sh.600067,2019-10-29,2019-09-30,0.032355,0.055837,0.299218,293952245.710000,0.469878,,1492110725.00,1492110725.00
sh.600068,2019-10-31,2019-09-30,0.072462,0.059542,0.159459,4345172128.300000,1.100762,,4604777412.00,4604777412.00
sh.600069,2019-10-30,2019-09-30,-0.095151,-0.122691,0.016983,-193498783.390000,-0.176566,,1623833844.00,1623833844.00
sh.600070,2019-10-29,2019-09-30,0.141054,0.201691,0.191772,419827618.430000,0.830309,,521946118.00,441348060.00
sh.600071,2019-10-31,2019-09-30,-0.043828,-0.061655,0.103899,-32257977.280000,-0.104660,,281573889.00,237472456.00
sh.600072,2019-10-31,2019-09-30,0.016144,0.020962,0.073849,40976895.540000,0.167899,,736249883.00,600778770.00
